name	kind	defined_by	required_by	signature	zcc_status	test	severity
br_hash_class	vtable_struct	bearssl_hash.h	bearssl.h	struct br_hash_class_ { size_t context_size; uint32_t desc; void (*init)(...); void (*update)(...); void (*out)(...); uint64_t (*state)(...); void (*set_state)(...); }	SUPPORTED	test_br_hash	P0
br_md5_context	core_type	bearssl_hash.h	bearssl.h	struct br_md5_context_ { const br_hash_class *vtable; unsigned char buf[64]; uint64_t count; uint32_t val[4]; }	SUPPORTED	test_br_hash	P0
br_sha1_context	core_type	bearssl_hash.h	bearssl.h	struct br_sha1_context_ { const br_hash_class *vtable; unsigned char buf[64]; uint64_t count; uint32_t val[5]; }	SUPPORTED	test_br_hash	P0
br_sha224_context	core_type	bearssl_hash.h	bearssl.h	struct br_sha224_context_ { const br_hash_class *vtable; unsigned char buf[64]; uint64_t count; uint32_t val[8]; }	SUPPORTED	test_br_hash	P0
br_sha256_context	core_type	bearssl_hash.h	bearssl.h	struct br_sha256_context_ { const br_hash_class *vtable; unsigned char buf[64]; uint64_t count; uint32_t val[8]; }	SUPPORTED	test_br_hash	P0
br_sha384_context	core_type	bearssl_hash.h	bearssl.h	struct br_sha384_context_ { const br_hash_class *vtable; unsigned char buf[128]; uint64_t count; uint64_t val[8]; }	SUPPORTED	test_br_hash	P0
br_sha512_context	core_type	bearssl_hash.h	bearssl.h	struct br_sha512_context_ { const br_hash_class *vtable; unsigned char buf[128]; uint64_t count; uint64_t val[8]; }	SUPPORTED	test_br_hash	P0
br_md5sha1_context	core_type	bearssl_hash.h	bearssl.h	struct br_md5sha1_context_	SUPPORTED	test_br_hash	P1
br_multihash_context	core_type	bearssl_hash.h	bearssl.h	struct br_multihash_context_	SUPPORTED	test_br_hash	P1
br_md5_init	public_api	md5.c	bearssl_hash.h	void br_md5_init(br_md5_context*)	SUPPORTED	test_br_md5	P0
br_md5_update	public_api	md5.c	bearssl_hash.h	void br_md5_update(br_md5_context*, const void*, size_t)	SUPPORTED	test_br_md5	P0
br_md5_out	public_api	md5.c	bearssl_hash.h	void br_md5_out(const br_md5_context*, void*)	SUPPORTED	test_br_md5	P0
br_md5_vtable	public_symbol	md5.c	bearssl_hash.h	const br_hash_class br_md5_vtable	SUPPORTED	test_br_md5	P0
br_sha1_init	public_api	sha1.c	bearssl_hash.h	void br_sha1_init(br_sha1_context*)	SUPPORTED	test_br_sha1	P0
br_sha1_update	public_api	sha1.c	bearssl_hash.h	void br_sha1_update(br_sha1_context*, const void*, size_t)	SUPPORTED	test_br_sha1	P0
br_sha1_out	public_api	sha1.c	bearssl_hash.h	void br_sha1_out(const br_sha1_context*, void*)	SUPPORTED	test_br_sha1	P0
br_sha1_vtable	public_symbol	sha1.c	bearssl_hash.h	const br_hash_class br_sha1_vtable	SUPPORTED	test_br_sha1	P0
br_sha256_init	public_api	sha2big.c	bearssl_hash.h	void br_sha256_init(br_sha256_context*)	SUPPORTED	test_br_sha256	P0
br_sha256_update	public_api	sha2big.c	bearssl_hash.h	void br_sha256_update(br_sha256_context*, const void*, size_t)	SUPPORTED	test_br_sha256	P0
br_sha256_out	public_api	sha2big.c	bearssl_hash.h	void br_sha256_out(const br_sha256_context*, void*)	SUPPORTED	test_br_sha256	P0
br_sha256_vtable	public_symbol	sha2big.c	bearssl_hash.h	const br_hash_class br_sha256_vtable	SUPPORTED	test_br_sha256	P0
br_sha512_init	public_api	sha2big.c	bearssl_hash.h	void br_sha512_init(br_sha512_context*)	SUPPORTED	test_br_sha512	P0
br_sha512_update	public_api	sha2big.c	bearssl_hash.h	void br_sha512_update(br_sha512_context*, const void*, size_t)	SUPPORTED	test_br_sha512	P0
br_sha512_out	public_api	sha2big.c	bearssl_hash.h	void br_sha512_out(const br_sha512_context*, void*)	SUPPORTED	test_br_sha512	P0
br_sha512_vtable	public_symbol	sha2big.c	bearssl_hash.h	const br_hash_class br_sha512_vtable	SUPPORTED	test_br_sha512	P0
br_ghash	funcptr_type	ghash.c	bearssl_hash.h	void (*br_ghash)(void*, const void*, const void*, size_t)	SUPPORTED	test_br_ghash	P0
br_ghash_ctmul	public_api	ghash_ctmul.c	bearssl_hash.h	void br_ghash_ctmul(void*, const void*, const void*, size_t)	SUPPORTED	test_br_ghash	P0
br_ghash_ctmul32	public_api	ghash_ctmul32.c	bearssl_hash.h	void br_ghash_ctmul32(void*, const void*, const void*, size_t)	SUPPORTED	test_br_ghash	P0
br_ghash_ctmul64	public_api	ghash_ctmul64.c	bearssl_hash.h	void br_ghash_ctmul64(void*, const void*, const void*, size_t)	SUPPORTED	test_br_ghash	P0
br_hmac_key_context	core_type	hmac.c	bearssl_hmac.h	struct br_hmac_key_context_	SUPPORTED	test_br_hmac	P0
br_hmac_context	core_type	hmac.c	bearssl_hmac.h	struct br_hmac_context_	SUPPORTED	test_br_hmac	P0
br_hmac_key_init	public_api	hmac.c	bearssl_hmac.h	void br_hmac_key_init(br_hmac_key_context*, const br_hash_class*, const void*, size_t)	SUPPORTED	test_br_hmac	P0
br_hmac_init	public_api	hmac.c	bearssl_hmac.h	void br_hmac_init(br_hmac_context*, const br_hmac_key_context*, size_t)	SUPPORTED	test_br_hmac	P0
br_hmac_update	public_api	hmac.c	bearssl_hmac.h	void br_hmac_update(br_hmac_context*, const void*, size_t)	SUPPORTED	test_br_hmac	P0
br_hmac_out	public_api	hmac.c	bearssl_hmac.h	size_t br_hmac_out(const br_hmac_context*, void*)	SUPPORTED	test_br_hmac	P0
br_hmac_outCT	public_api	hmac_ct.c	bearssl_hmac.h	size_t br_hmac_outCT(const br_hmac_context*, const void*, size_t, void*, size_t)	SUPPORTED	test_br_hmac	P0
br_hkdf_context	core_type	hkdf.c	bearssl_kdf.h	struct br_hkdf_context_	SUPPORTED	test_br_hkdf	P0
br_hkdf_init	public_api	hkdf.c	bearssl_kdf.h	void br_hkdf_init(br_hkdf_context*, const br_hash_class*, const void*, size_t)	SUPPORTED	test_br_hkdf	P0
br_hkdf_inject	public_api	hkdf.c	bearssl_kdf.h	void br_hkdf_inject(br_hkdf_context*, const void*, size_t)	SUPPORTED	test_br_hkdf	P0
br_hkdf_flip	public_api	hkdf.c	bearssl_kdf.h	void br_hkdf_flip(br_hkdf_context*)	SUPPORTED	test_br_hkdf	P0
br_hkdf_produce	public_api	hkdf.c	bearssl_kdf.h	size_t br_hkdf_produce(br_hkdf_context*, const void*, size_t, void*, size_t)	SUPPORTED	test_br_hkdf	P0
br_prng_class	vtable_struct	bearssl_rand.h	bearssl.h	struct br_prng_class_	SUPPORTED	test_br_prng	P0
br_hmac_drbg_context	core_type	hmac_drbg.c	bearssl_rand.h	struct br_hmac_drbg_context_	SUPPORTED	test_br_prng	P0
br_hmac_drbg_init	public_api	hmac_drbg.c	bearssl_rand.h	void br_hmac_drbg_init(br_hmac_drbg_context*, const br_hash_class*, const void*, size_t)	SUPPORTED	test_br_prng	P0
br_hmac_drbg_generate	public_api	hmac_drbg.c	bearssl_rand.h	void br_hmac_drbg_generate(br_hmac_drbg_context*, void*, size_t)	SUPPORTED	test_br_prng	P0
br_aes_big_cbcenc_vtable	vtable_struct	aes_big_cbcenc.c	bearssl_block.h	const br_block_cbcenc_class br_aes_big_cbcenc_vtable	SUPPORTED	test_br_aes	P0
br_aes_small_cbcenc_vtable	vtable_struct	aes_small_cbcenc.c	bearssl_block.h	const br_block_cbcenc_class br_aes_small_cbcenc_vtable	SUPPORTED	test_br_aes	P0
br_aes_ct_cbcenc_vtable	vtable_struct	aes_ct_cbcenc.c	bearssl_block.h	const br_block_cbcenc_class br_aes_ct_cbcenc_vtable	SUPPORTED	test_br_aes	P0
br_aes_ct64_cbcenc_vtable	vtable_struct	aes_ct64_cbcenc.c	bearssl_block.h	const br_block_cbcenc_class br_aes_ct64_cbcenc_vtable	SUPPORTED	test_br_aes	P0
br_chacha20_run	funcptr_type	chacha20.c	bearssl_block.h	uint32_t (*br_chacha20_run)(const void*, const void*, uint32_t, void*, size_t)	SUPPORTED	test_br_chacha	P0
br_poly1305_run	funcptr_type	poly1305.c	bearssl_block.h	void (*br_poly1305_run)(const void*, const void*, void*, size_t, const void*, size_t, void*, br_floating_point, uint32_t)	SUPPORTED	test_br_poly	P0
br_gcm_context	core_type	gcm.c	bearssl_aead.h	struct br_gcm_context_	SUPPORTED	test_br_gcm	P0
br_gcm_init	public_api	gcm.c	bearssl_aead.h	void br_gcm_init(br_gcm_context*, const br_block_ctr_class*, br_ghash)	SUPPORTED	test_br_gcm	P0
br_gcm_run	public_api	gcm.c	bearssl_aead.h	void br_gcm_run(br_gcm_context*, int, void*, size_t)	SUPPORTED	test_br_gcm	P0
br_gcm_get_tag	public_api	gcm.c	bearssl_aead.h	void br_gcm_get_tag(br_gcm_context*, void*)	SUPPORTED	test_br_gcm	P0
br_rsa_public_key	core_type	rsa.c	bearssl_rsa.h	struct br_rsa_public_key_ { unsigned char *n; size_t nlen; unsigned char *e; size_t elen; }	SUPPORTED	test_br_rsa	P0
br_rsa_private_key	core_type	rsa.c	bearssl_rsa.h	struct br_rsa_private_key_	SUPPORTED	test_br_rsa	P0
br_rsa_i15_public	public_api	rsa_i15_pub.c	bearssl_rsa.h	uint32_t br_rsa_i15_public(unsigned char*, size_t, const br_rsa_public_key*)	SUPPORTED	test_br_rsa	P0
br_rsa_i31_public	public_api	rsa_i31_pub.c	bearssl_rsa.h	uint32_t br_rsa_i31_public(unsigned char*, size_t, const br_rsa_public_key*)	SUPPORTED	test_br_rsa	P0
