name	kind	defined_by	required_by	signature	zcc_status	test	severity
M3Environment	core_type	m3_core.h	wasm3.h	struct M3Environment	PROVEN	test_wasm3_types	P0
M3Runtime	core_type	m3_core.h	wasm3.h	struct M3Runtime	PROVEN	test_wasm3_types	P0
M3Module	core_type	m3_core.h	wasm3.h	struct M3Module	PROVEN	test_wasm3_types	P0
M3Function	core_type	m3_core.h	wasm3.h	struct M3Function	PROVEN	test_wasm3_types	P0
M3Global	core_type	m3_core.h	wasm3.h	struct M3Global	PROVEN	test_wasm3_types	P0
IM3Environment	pointer_typedef	wasm3.h	wasm3.h	struct M3Environment*	PROVEN	test_wasm3_types	P0
IM3Runtime	pointer_typedef	wasm3.h	wasm3.h	struct M3Runtime*	PROVEN	test_wasm3_types	P0
IM3Module	pointer_typedef	wasm3.h	wasm3.h	struct M3Module*	PROVEN	test_wasm3_types	P0
IM3Function	pointer_typedef	wasm3.h	wasm3.h	struct M3Function*	PROVEN	test_wasm3_types	P0
IM3Global	pointer_typedef	wasm3.h	wasm3.h	struct M3Global*	PROVEN	test_wasm3_types	P0
M3Result	result_type	wasm3.h	wasm3.h	const char*	PROVEN	test_wasm3_types	P0
M3ErrorInfo	result_type	wasm3.h	wasm3.h	struct M3ErrorInfo	PROVEN	test_wasm3_types	P0
M3BacktraceFrame	result_type	wasm3.h	wasm3.h	struct M3BacktraceFrame	PROVEN	test_wasm3_types	P1
M3BacktraceInfo	result_type	wasm3.h	wasm3.h	struct M3BacktraceInfo	PROVEN	test_wasm3_types	P1
M3ValueType	value_type	wasm3.h	wasm3.h	uint8_t	PROVEN	test_wasm3_types	P0
M3ImportContext	value_type	wasm3.h	wasm3.h	struct M3ImportContext	PROVEN	test_wasm3_types	P1
M3RawCall	funcptr_type	wasm3.h	wasm3.h	m3ret_t (*)(IM3Runtime, uint64_t*, void*)	PROVEN	test_wasm3_abi	P0
M3SectionHandler	funcptr_type	wasm3.h	wasm3.h	M3Result (*)(IM3Module, const char*, const uint8_t*, size_t)	PROVEN	test_wasm3_abi	P1
u8	integer_alias	m3_core.h	m3_core.h	uint8_t	PROVEN	test_wasm3_types	P0
i8	integer_alias	m3_core.h	m3_core.h	int8_t	PROVEN	test_wasm3_types	P0
u16	integer_alias	m3_core.h	m3_core.h	uint16_t	PROVEN	test_wasm3_types	P0
i16	integer_alias	m3_core.h	m3_core.h	int16_t	PROVEN	test_wasm3_types	P0
u32	integer_alias	m3_core.h	m3_core.h	uint32_t	PROVEN	test_wasm3_types	P0
i32	integer_alias	m3_core.h	m3_core.h	int32_t	PROVEN	test_wasm3_types	P0
u64	integer_alias	m3_core.h	m3_core.h	uint64_t	PROVEN	test_wasm3_types	P0
i64	integer_alias	m3_core.h	m3_core.h	int64_t	PROVEN	test_wasm3_types	P0
f32	fp_alias	m3_core.h	m3_core.h	float	PROVEN	test_wasm3_types	P0
f64	fp_alias	m3_core.h	m3_core.h	double	PROVEN	test_wasm3_types	P0
m3ret_t	interpreter_alias	m3_core.h	m3_core.h	const void*	PROVEN	test_wasm3_types	P0
code_t	interpreter_alias	m3_core.h	m3_core.h	const void*	PROVEN	test_wasm3_types	P0
pc_t	interpreter_alias	m3_core.h	m3_core.h	const void**	PROVEN	test_wasm3_types	P0
m3opcode_t	interpreter_alias	m3_core.h	m3_core.h	uint8_t	PROVEN	test_wasm3_types	P0
m3reg_t	interpreter_alias	m3_core.h	m3_core.h	uint64_t	PROVEN	test_wasm3_types	P0
M3MemoryHeader	runtime_internal	m3_env.h	m3_env.c	struct M3MemoryHeader	SUPPORTED	test_wasm3_layout	P0
M3CodePageHeader	runtime_internal	m3_code.h	m3_code.c	struct M3CodePageHeader	SUPPORTED	test_wasm3_layout	P0
M3CodeMappingPage	runtime_internal	m3_code.h	m3_code.c	struct M3CodeMappingPage	SUPPORTED	test_wasm3_layout	P0
m3_NewEnvironment	public_api	m3_env.c	wasm3.h	IM3Environment m3_NewEnvironment(void)	SUPPORTED	test_wasm3_api	P0
m3_FreeEnvironment	public_api	m3_env.c	wasm3.h	void m3_FreeEnvironment(IM3Environment)	SUPPORTED	test_wasm3_api	P0
m3_SetCustomSectionHandler	public_api	m3_env.c	wasm3.h	void m3_SetCustomSectionHandler(IM3Environment, M3SectionHandler)	SUPPORTED	test_wasm3_api	P1
m3_NewRuntime	public_api	m3_env.c	wasm3.h	IM3Runtime m3_NewRuntime(IM3Environment, u32, void*)	SUPPORTED	test_wasm3_api	P0
m3_FreeRuntime	public_api	m3_env.c	wasm3.h	void m3_FreeRuntime(IM3Runtime)	SUPPORTED	test_wasm3_api	P0
